DATE,LRHUTTTTAUM156S
2005-11-01,4.9371005
2005-12-01,5.0704614
2006-01-01,5.1629868
2006-02-01,5.1055621
2006-03-01,4.8676688
2006-04-01,4.9671714
2006-05-01,4.7987848
2006-06-01,4.8084499
2006-07-01,4.6562549
2006-08-01,4.710504
2006-09-01,4.6646486
2006-10-01,4.4630949
2006-11-01,4.515284
2006-12-01,4.5686932
2007-01-01,4.5546168
2007-02-01,4.6373577
2007-03-01,4.4603754
2007-04-01,4.3870517
2007-05-01,4.2653063
2007-06-01,4.3244652
2007-07-01,4.2527327
2007-08-01,4.2956668
2007-09-01,4.2120693
2007-10-01,4.3262739
2007-11-01,4.4270216
2007-12-01,4.3092474
2008-01-01,4.2205894
2008-02-01,3.9828154
2008-03-01,4.0579784
2008-04-01,4.2666107
2008-05-01,4.2670555
2008-06-01,4.2442884
2008-07-01,4.2498518
2008-08-01,4.0108422
2008-09-01,4.2879212
2008-10-01,4.2902631
2008-11-01,4.463099
2008-12-01,4.5710937
2009-01-01,4.9076331
2009-02-01,5.3093685
2009-03-01,5.7127211
2009-04-01,5.5140867
2009-05-01,5.813245
2009-06-01,5.8620362
2009-07-01,5.6717359
2009-08-01,5.7047516
2009-09-01,5.6603118
2009-10-01,5.6238748
2009-11-01,5.5586936
2009-12-01,5.4921288
2010-01-01,5.2659775
2010-02-01,5.3089995
2010-03-01,5.4235079
2010-04-01,5.4981922
2010-05-01,5.2305905
2010-06-01,5.1449214
2010-07-01,5.2864547
2010-08-01,5.0209026
2010-09-01,5.0534948
2010-10-01,5.2859956
2010-11-01,5.1087619
2010-12-01,4.8775669
2011-01-01,5.0032285
2011-02-01,4.9875632
2011-03-01,4.9259882
2011-04-01,4.9577365
2011-05-01,5.0144562
2011-06-01,4.9166446
2011-07-01,5.0893129
2011-08-01,5.2554924
2011-09-01,5.2213622
2011-10-01,5.189714
2011-11-01,5.2301889
2011-12-01,5.1976418
2012-01-01,5.0460091
2012-02-01,5.2160145
2012-03-01,5.1807618
2012-04-01,4.991531
2012-05-01,5.2016168
2012-06-01,5.16271
2012-07-01,5.1764322
2012-08-01,5.1426825
2012-09-01,5.4882354
2012-10-01,5.4141798
2012-11-01,5.2561111
2012-12-01,5.4343139
2013-01-01,5.3860665
2013-02-01,5.4290454
2013-03-01,5.6353666
2013-04-01,5.5833454
2013-05-01,5.6105744
2013-06-01,5.6952402
2013-07-01,5.6256766
2013-08-01,5.8206627
2013-09-01,5.7048351
2013-10-01,5.828237
2013-11-01,5.7975798
2013-12-01,5.9038385
2014-01-01,5.9350235
2014-02-01,5.8951839
2014-03-01,5.8684701
2014-04-01,5.7991399
2014-05-01,5.9291781
2014-06-01,6.0473532
2014-07-01,6.1678062
2014-08-01,6.0815744
2014-09-01,6.2245193
2014-10-01,6.3666648
2014-11-01,6.3014324
2014-12-01,6.1109998
2015-01-01,6.3386326
2015-02-01,6.12134
2015-03-01,6.093806
2015-04-01,6.1054261
2015-05-01,5.929628
2015-06-01,6.0064963
2015-07-01,6.2650908
2015-08-01,6.0806152
2015-09-01,6.1599492
2015-10-01,5.9212188
2015-11-01,5.8597083
2015-12-01,5.7519106
2016-01-01,6.0248048
2016-02-01,5.6723594
2016-03-01,5.6456831
2016-04-01,5.6369177
2016-05-01,5.7171237
2016-06-01,5.6917078
2016-07-01,5.6817594
2016-08-01,5.6020342
2016-09-01,5.641408
2016-10-01,5.5858576
2016-11-01,5.7697454
2016-12-01,5.8420753
2017-01-01,5.685877
2017-02-01,5.8352899
2017-03-01,5.8490331
2017-04-01,5.6073033
2017-05-01,5.5380833
2017-06-01,5.5948624
2017-07-01,5.5766917
2017-08-01,5.5076677
2017-09-01,5.441706
2017-10-01,5.368043
2017-11-01,5.4279229
2017-12-01,5.6193917
2018-01-01,5.507402
2018-02-01,5.5551694
2018-03-01,5.5092199
2018-04-01,5.5291821
2018-05-01,5.3878459
2018-06-01,5.3154673
2018-07-01,5.2699742
2018-08-01,5.2611395
2018-09-01,5.0085199
2018-10-01,5.0032043
2018-11-01,5.1140899
2018-12-01,5.0185009
2019-01-01,5.0505973
2019-02-01,4.9550654
2019-03-01,5.0866843
2019-04-01,5.2119751
2019-05-01,5.2039592
2019-06-01,5.2500949
2019-07-01,5.2466288
2019-08-01,5.2552709
2019-09-01,5.1949766
2019-10-01,5.3064755
2019-11-01,5.1748711
2019-12-01,5.0732777
2020-01-01,5.2900846
2020-02-01,5.0937453
2020-03-01,5.2314997
